make,model,year,driveTrain,cylinders,engineTorque,engineType,interiorColor,exteriorColor,horsepower,mileage,mpgHighway,mpgCity,state,transmission,vehicleSize,types,basePrice,body
Chevrolet,Tahoe,2019,2WD,8,,,Black,Brown,,13879,,,Texas,Automatic,Full-size,Sport Utilities,45998.0,4D Sport Utility
Buick,Encore,2019,2WD,4,148,Turbo Gas,Black,Gray,138,18026,30,25,Texas,Automatic,Compact,"Crossovers,Luxury Vehicles,Sport Utilities",23998.0,4D Sport Utility
Kia,Soul,2016,2WD,4,118,Gas,Black,White,130,58873,30,24,Texas,Automatic,Compact,"Sport Utilities,Wagons",16998.0,4D Wagon
Chevrolet,Colorado,2016,2WD,6,,,Gray,White,,12289,,,Texas,Automatic,Compact,Pickup Trucks,26998.0,4D Extended Cab
Toyota,RAV4,2014,2WD,4,172,Gas,Gray,Red,176,59480,31,24,Texas,Automatic,Compact,"Crossovers,Sport Utilities",20998.0,4D Sport Utility
Honda,Pilot,2019,2WD,6,262,Gas,Black,Gray,280,32700,27,19,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",35998.0,4D Sport Utility
GMC,Terrain,2017,2WD,4,172,Gas,Gray,Red,182,48412,31,21,Texas,Automatic,Compact,"Crossovers,Sport Utilities",21998.0,4D Sport Utility
Toyota,Corolla,2014,2WD,4,128,Gas,Black,Red,132,36395,37,29,Texas,Automatic,Compact,Sedans,18998.0,4D Sedan
Jeep,Cherokee,2018,2WD,6,239,Gas,Tan,Black,271,15880,30,21,Texas,Automatic,Mid-size,Sport Utilities,23998.0,4D Sport Utility
Toyota,Avalon,2020,2WD,6,,,Black,Brown,,16585,,,Texas,Automatic,Full-size,Sedans,31998.0,4D Sedan
Volkswagen,Atlas,2021,2WD,6,,,Black,Blue,,2764,,,Texas,Automatic,Mid-size,Sport Utilities,39998.0,4D Sport Utility
Toyota,Tundra,2020,2WD,8,401,Gas,Black,Blue,381,16143,18,13,Texas,Automatic,Full-size,Pickup Trucks,45998.0,4D Crew Cab
Ford,F150,2018,4WD,6,470,Turbo Gas,Black,Black,375,47305,22,16,Texas,Automatic,Full-size,Pickup Trucks,43998.0,4D Crew Cab
Jeep,Grand Cherokee,2017,4WD,6,260,Gas,Black,Gray,293,49403,25,18,Oklahoma,Automatic,Mid-size,Sport Utilities,31998.0,4D Sport Utility
Ford,Explorer,2016,4WD,6,350,Turbo Gas,Black,Black,365,60551,22,16,Oklahoma,Automatic,Mid-size,Sport Utilities,32998.0,4D Sport Utility
Ford,Mustang,2019,2WD,4,350,Turbo Gas,Tan,Gray,310,35334,,,Texas,Manual 6 Speed,Mid-size,"Coupes,Sports Cars",25998.0,2D Coupe
Genesis,G80,2018,4WD,6,376,Turbo Gas,Black,Black,365,29071,24,17,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans,Sports Cars",39998.0,4D Sedan
Hyundai,Santa Fe Sport,2015,2WD,4,181,Gas,Gray,Gray,190,36323,27,20,Texas,Automatic,Mid-size,"Crossovers,Sport Utilities",19998.0,4D Sport Utility
Mazda,MX-5 Miata,2017,2WD,4,148,Gas,Black,Red,155,6441,,,Texas,Automatic,Compact,"Convertibles,Sports Cars",28998.0,2D Convertible
Nissan,Sentra,2019,2WD,4,125,Gas,Black,Black,124,41912,37,29,Texas,Automatic,Compact,Sedans,17998.0,4D Sedan
Nissan,Sentra,2019,2WD,4,125,Gas,Black,Gray,124,21817,37,29,Texas,Automatic,Compact,Sedans,19998.0,4D Sedan
GMC,Terrain,2016,2WD,6,272,Gas,Gray,White,301,39326,32,22,Texas,Automatic,Compact,"Crossovers,Sport Utilities",24998.0,4D Sport Utility
Toyota,RAV4 Hybrid,2017,4WD,4,152,Hybrid,Gray,Silver,194,43421,30,34,Texas,Automatic,,"Sport Utilities,Hybrids",24998.0,4D Sport Utility
Chevrolet,Volt,2018,2WD,4,294,Hybrid,Black,White,149,31508,42,43,Texas,Automatic,Compact,"Sedans,Hybrids",19998.0,4D Hatchback
Toyota,RAV4,2017,2WD,6,172,Gas,Black,Silver,176,34701,30,23,Texas,Automatic,Compact,"Crossovers,Sport Utilities",22998.0,4D Sport Utility
Ford,Fiesta,2019,2WD,4,112,Gas,Black,Black,120,53216,35,27,Texas,Automatic,Compact,Sedans,15998.0,4D Sedan
Nissan,Rogue,2019,4WD,4,175,Gas,Black,Black,170,11524,32,25,Texas,Automatic,Compact,"Crossovers,Sport Utilities",30998.0,4D Sport Utility
Volkswagen,Beetle,2018,2WD,4,184,Turbo Gas,Black,Gray,174,50372,33,26,Texas,Automatic,Compact,Coupes,19998.0,2D Hatchback
Chevrolet,Volt,2017,2WD,4,,,Black,Silver,,42587,,,Texas,Automatic,Compact,Hybrids,18998.0,4D Hatchback
Lexus,CT 200h,2014,2WD,4,105,Hybrid,Brown,Gray,134,53829,40,43,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans,Hybrids",20998.0,4D Hatchback
BMW,X3,2018,4WD,6,,,Black,White,,45627,,,Texas,Automatic,Compact,Sport Utilities,41998.0,4D Sport Utility
Volvo,XC40,2020,2WD,4,221,Turbo Gas,Gray,Black,187,20736,33,23,Texas,Automatic,Compact,"Crossovers,Luxury Vehicles,Sport Utilities",35998.0,4D Sport Utility
Jeep,Wrangler,2017,4WD,6,260,Gas,Black,Black,285,31364,21,17,Texas,Manual 6 Speed,Compact,Sport Utilities,34998.0,2D Sport Utility
Nissan,Altima,2016,2WD,4,180,Gas,Black,Gray,182,84373,37,26,Texas,Automatic,Mid-size,Sedans,17998.0,4D Sedan
Ford,Fusion,2012,2WD,4,172,Gas,Black,White,175,48460,33,23,Texas,Automatic,Mid-size,Sedans,16998.0,4D Sedan
Infiniti,Q50,2017,2WD,4,258,Turbo Gas,Black,Silver,208,91041,31,23,Texas,Automatic,Full-size,"Luxury Vehicles,Sedans",23998.0,4D Sedan
Mercedes-Benz,GL450,2016,4WD,6,,,Tan,Black,,57762,,,Texas,Automatic,Full-size,Sport Utilities,38998.0,4D Sport Utility
Ford,F150,2018,2WD,8,,,Tan,Gray,,85781,,,Texas,Automatic,Full-size,Pickup Trucks,36998.0,4D Crew Cab
Honda,Odyssey,2016,2WD,6,250,Gas,Gray,Gray,248,49290,28,19,Oklahoma,Automatic,Mid-size,Minivans and Vans,29998.0,4D Pass Ext Van
Land Rover,Discovery Sport,2018,4WD,4,251,Turbo Gas,Black,Black,237,37927,25,21,Oklahoma,Automatic,,Sport Utilities,28998.0,4D Sport Utility
Chevrolet,Sonic,2018,2WD,4,,,Black,White,,37771,,,Oklahoma,Automatic,Compact,Sedans,16998.0,4D Sedan
Chevrolet,Malibu,2017,2WD,4,260,Turbo Gas,Black,Black,250,65105,33,22,Texas,Automatic,Mid-size,Sedans,23998.0,4D Sedan
Jeep,Cherokee,2016,4WD,4,,,Tan,Gray,,90944,,,Texas,Automatic,Mid-size,Sport Utilities,19998.0,4D Sport Utility
Audi,A6,2016,4WD,4,273,Turbo Gas,Gray,Gray,252,81522,32,22,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",24998.0,4D Sedan
Jeep,Wrangler,2020,4WD,6,260,Gas,Black,Black,285,11190,23,17,Texas,Automatic,Compact,Sport Utilities,47998.0,4D Sport Utility
Ford,Expedition,2011,4WD,8,365,Gas,Brown,Black,310,98165,18,13,Texas,Automatic,Full-size,Sport Utilities,21998.0,4D Sport Utility
Dodge,Charger,2020,2WD,8,395,Gas,Black,Black,370,14823,,,Texas,Automatic,Full-size,Sedans,38998.0,4D Sedan
Honda,Fit,2015,2WD,4,114,Gas,Gray,Gray,130,80412,37,29,Texas,Manual 6 Speed,Compact,"Sedans,Wagons",13998.0,4D Hatchback
Volkswagen,Passat,2017,2WD,4,184,Turbo Gas,Black,Black,170,38588,34,23,Texas,Automatic,Mid-size,Sedans,19998.0,4D Sedan
Kia,Forte,2018,2WD,4,132,Gas,Black,Red,147,39973,37,29,Texas,Automatic,Compact,Sedans,16998.0,4D Sedan
Toyota,Camry,2017,2WD,4,170,Gas,Gray,Silver,178,53721,33,24,Texas,Automatic,Mid-size,Sedans,20998.0,4D Sedan
Mini,Cooper,2017,2WD,3,162,Turbo Gas,Black,Gray,134,47913,37,28,Texas,Automatic,Compact,"Convertibles,Coupes,Sports Cars",20998.0,2D Convertible
BMW,340,2018,2WD,6,,,Black,Silver,,51659,,,Texas,Automatic,,Sedans,34998.0,4D Sedan
Ford,Escape,2018,4WD,4,275,Turbo Gas,Black,Red,245,7964,27,20,Texas,Automatic,Compact,"Crossovers,Sport Utilities",29998.0,4D Sport Utility
Kia,Sportage,2015,2WD,4,177,Gas,Black,White,182,60124,28,21,Texas,Automatic,Compact,"Crossovers,Sport Utilities",17998.0,4D Sport Utility
Jeep,Cherokee,2019,2WD,4,171,Gas,Black,White,180,53926,31,22,Texas,Automatic,Mid-size,Sport Utilities,21998.0,4D Sport Utility
Honda,Civic,2020,2WD,4,138,Gas,Black,Red,158,5731,37,29,Texas,Automatic,Compact,Sedans,26998.0,4D Sedan
Toyota,RAV4,2019,2WD,4,184,Gas,Tan,White,203,26253,35,26,Texas,Automatic,Compact,"Crossovers,Sport Utilities",29998.0,4D Sport Utility
Ford,Explorer,2015,4WD,6,350,Turbo Gas,Black,White,365,62589,22,16,Texas,Automatic,Mid-size,Sport Utilities,30998.0,4D Sport Utility
Honda,Odyssey,2019,2WD,6,262,Gas,Black,Black,280,9296,28,19,Texas,Automatic,Mid-size,Minivans and Vans,37998.0,4D Pass Ext Van
Honda,Accord,2016,2WD,4,182,Gas,Black,Red,189,56815,35,26,Texas,Automatic,Mid-size,Sedans,20998.0,4D Sedan
Lexus,RC 350,2015,2WD,6,277,Gas,Tan,Gray,306,18816,28,19,Texas,Automatic,Full-size,"Luxury Vehicles,Coupes,Sports Cars",36998.0,2D Coupe
Toyota,4Runner,2021,4WD,6,278,Gas,Black,Red,270,12707,,,Louisiana,Automatic,Mid-size,Sport Utilities,50998.0,4D Sport Utility
Ford,Escape,2016,4WD,4,,,Gray,Red,,83485,,,Texas,Automatic,Compact,"Crossovers,Sport Utilities",18998.0,4D Sport Utility
Lexus,ES 350,2019,2WD,6,267,Gas,Brown,Black,302,15239,33,22,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",42998.0,4D Sedan
Chevrolet,Silverado 1500,2018,2WD,8,383,Gas,Black,Black,355,34789,23,16,Texas,Automatic,Full-size,Pickup Trucks,36998.0,4D Crew Cab
BMW,X5,2015,4WD,6,300,Turbo Gas,Red,Gray,300,56712,27,18,Oklahoma,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",32998.0,4D Sport Utility
Volkswagen,GTI,2017,2WD,4,258,Turbo Gas,Black,Gray,210,41278,34,24,Texas,Manual 6 Speed,Compact,Sedans,22998.0,4D Hatchback
Ford,Fusion,2017,2WD,4,175,Gas,Black,Silver,175,83363,32,21,Texas,Automatic,Mid-size,Sedans,16998.0,4D Sedan
Ford,Expedition,2021,4WD,6,,,Tan,Blue,,9765,,,Texas,Automatic,Full-size,Sport Utilities,68998.0,4D Sport Utility
Jeep,Cherokee,2019,4WD,4,,,Black,White,,50771,,,Oklahoma,Automatic,Mid-size,Sport Utilities,26998.0,4D Sport Utility
Toyota,RAV4,2018,2WD,6,,,Tan,White,,9289,,,Oklahoma,Automatic,Compact,Sport Utilities,28998.0,4D Sport Utility
Chevrolet,Silverado 1500,2014,4WD,6,,,Gray,Blue,,61833,,,Texas,Automatic,Full-size,Pickup Trucks,26998.0,2D Regular Cab
GMC,Sierra 1500,2021,4WD,8,,,Black,Black,,6608,,,Texas,Automatic,Full-size,Pickup Trucks,56998.0,4D Crew Cab
Mazda,CX-5,2013,2WD,4,150,Gas,Gray,White,155,95943,32,26,Texas,Automatic,Compact,"Crossovers,Sport Utilities",16998.0,4D Sport Utility
Ford,F350,2019,2WD,8,935,Turbo Diesel,Gray,White,450,8160,,,Texas,Automatic,Full-size,"Pickup Trucks,Diesel Engines",55998.0,4D Crew Cab
Dodge,Charger,2019,2WD,8,475,Gas,Black,Gray,485,10367,24,15,Texas,Automatic,Full-size,Sedans,46998.0,4D Sedan
Dodge,Journey,2018,4WD,6,260,Gas,Black,White,283,45871,24,16,Texas,Automatic,Mid-size,Sport Utilities,21998.0,4D Sport Utility
Nissan,Frontier,2014,2WD,6,281,Gas,Gray,Blue,261,52369,22,16,Texas,Automatic,Compact,Pickup Trucks,23998.0,4D Crew Cab
Lexus,RX 350,2012,2WD,6,248,Gas,Gray,Black,270,85092,25,18,Texas,Automatic,Mid-size,"Crossovers,Luxury Vehicles,Sport Utilities",21998.0,4D Sport Utility
Dodge,Challenger,2017,2WD,8,475,Gas,Black,Black,485,55263,23,14,Texas,Automatic,Compact,"Coupes,Sports Cars",37998.0,2D Coupe
Chevrolet,Silverado 1500,2019,2WD,6,305,Gas,Black,White,285,14286,21,16,Texas,Automatic,Full-size,Pickup Trucks,32998.0,4D Extended Cab
Ford,F250,2016,4WD,8,860,Turbo Diesel,Black,Red,440,53914,,,Texas,Automatic,Full-size,"Pickup Trucks,Diesel Engines",54998.0,4D Crew Cab
Ford,Mustang,2018,2WD,4,350,Turbo Gas,Black,Silver,310,53433,,,Texas,Automatic,Mid-size,"Convertibles,Coupes,Sports Cars",24998.0,2D Convertible
Mercedes-Benz,GLA250,2018,4WD,4,258,Turbo Gas,Black,Silver,208,12238,31,23,Texas,Automatic,,"Sport Utilities,Wagons",32998.0,4D Sport Utility
Jeep,Renegade,2018,4WD,4,175,Gas,Black,Silver,180,43032,29,21,Texas,Automatic,,"Crossovers,Sport Utilities",21998.0,4D Sport Utility
Honda,Civic,2018,2WD,4,162,Turbo Gas,White,Gray,180,33399,36,30,Texas,Automatic,Compact,Sedans,27998.0,4D Hatchback
BMW,530,2018,2WD,4,258,Turbo Gas,White,White,248,39547,34,24,Texas,Automatic,Mid-size,"Luxury Vehicles,Sedans",32998.0,4D Sedan
Honda,Civic,2016,2WD,4,138,Gas,Black,Red,158,44628,41,30,Texas,Automatic,Compact,Coupes,18998.0,2D Coupe
Honda,Civic,2018,2WD,4,138,Gas,Gray,Gray,158,33508,40,31,Texas,Automatic,Compact,Sedans,22998.0,4D Sedan
GMC,Sierra 1500,2016,4WD,8,383,Gas,,Gray,355,50560,22,16,Texas,Automatic,Full-size,Pickup Trucks,39998.0,4D Crew Cab
Ford,Fusion,2017,2WD,4,,Turbo Gas,Gray,White,,55663,,,Texas,Automatic,Mid-size,Sedans,19998.0,4D Sedan
Ford,Mustang,2019,2WD,4,350,Turbo Gas,Black,White,310,28606,,,Texas,Automatic,Mid-size,"Coupes,Sports Cars",27998.0,2D Coupe
Ford,Explorer,2018,4WD,6,350,Turbo Gas,Black,Black,365,40808,22,16,Texas,Automatic,Mid-size,Sport Utilities,37998.0,4D Sport Utility
Ford,Expedition,2017,4WD,6,420,Turbo Gas,Black,Silver,365,56937,20,15,Louisiana,Automatic,Full-size,Sport Utilities,35998.0,4D Sport Utility
Chevrolet,Trax,2020,2WD,4,,,Black,Red,,6674,,,Louisiana,Automatic,,Sport Utilities,21998.0,4D Sport Utility
Toyota,Camry,2020,2WD,4,186,Gas,Black,Black,206,10377,,27,Louisiana,Automatic,Mid-size,Sedans,33998.0,4D Sedan
